iqr_open: Opened wwv_5Mhz_g40_1234_48k.iqr
  Sample rate: 48000 Hz
  Center freq: 5000000 Hz
  Samples: 8644116
  Duration: 180.09 seconds
time,wwv,wwvh,wwv_thresh,wwvh_thresh
112.67698,0.068458,0.050596,0.111473,0.093210
112.67798,0.061458,0.053831,0.111473,0.093210
112.67898,0.057968,0.044182,0.111473,0.093210
112.67998,0.053453,0.045201,0.111473,0.093210
112.68098,0.068915,0.053833,0.111473,0.093210
112.68198,0.059829,0.052974,0.111473,0.093210
112.68298,0.059617,0.048131,0.111473,0.093210
112.68398,0.059363,0.050351,0.111473,0.093210
112.68498,0.045280,0.031672,0.111473,0.093210
112.68598,0.053047,0.049075,0.111473,0.093210
112.68698,0.068801,0.055501,0.111473,0.093210
112.68798,0.065860,0.054887,0.111473,0.093210
112.68898,0.058495,0.051715,0.111473,0.093210
112.68998,0.029304,0.022509,0.111473,0.093210
112.69098,0.056141,0.042315,0.111473,0.093210
112.69198,0.060232,0.054949,0.111473,0.093210
112.69298,0.055187,0.050312,0.111473,0.093210
112.69398,0.050668,0.044846,0.111473,0.093210
112.69498,0.055267,0.045085,0.111473,0.093210
112.69598,0.057096,0.050143,0.111473,0.093210
112.69698,0.051695,0.045811,0.111473,0.093210
112.69798,0.054299,0.047792,0.111473,0.093210
112.69898,0.047944,0.040510,0.111473,0.093210
112.69998,0.048209,0.042217,0.111473,0.093210
112.70098,0.057949,0.046568,0.111473,0.093210
112.70198,0.040288,0.032457,0.111473,0.093210
112.70298,0.040333,0.035222,0.111473,0.093210
112.70398,0.048316,0.042917,0.111473,0.093210
112.70498,0.052244,0.044415,0.111473,0.093210
112.70598,0.062343,0.051937,0.111473,0.093210
112.70698,0.056778,0.045530,0.111473,0.093210
112.70798,0.053210,0.046971,0.111473,0.093210
112.70898,0.052287,0.043283,0.111473,0.093210
112.70998,0.050392,0.043664,0.111473,0.093210
112.71098,0.058165,0.049541,0.111473,0.093210
112.71198,0.048866,0.041874,0.111473,0.093210
112.71298,0.055051,0.047629,0.111473,0.093210
112.71398,0.047291,0.034880,0.111473,0.093210
112.71498,0.055459,0.050594,0.111473,0.093210
112.71598,0.056657,0.050388,0.111473,0.093210
112.71698,0.059904,0.045576,0.111473,0.093210
112.71798,0.063318,0.056790,0.111473,0.093210
112.71898,0.056539,0.040742,0.111473,0.093210
112.71998,0.060358,0.054076,0.111473,0.093210
112.72098,0.054427,0.047972,0.111473,0.093210
112.72198,0.052499,0.044972,0.111473,0.093210
112.72298,0.043929,0.037654,0.111473,0.093210
112.72398,0.053114,0.047873,0.111473,0.093210
112.72498,0.048151,0.036377,0.111473,0.093210
112.72598,0.056788,0.046961,0.111473,0.093210
112.72698,0.064818,0.058687,0.111473,0.093210
112.72798,0.057139,0.049841,0.111473,0.093210
112.72898,0.057531,0.049470,0.111473,0.093210
112.72998,0.056043,0.044802,0.111473,0.093210
112.73098,0.058999,0.053642,0.111473,0.093210
112.73198,0.047936,0.032507,0.111473,0.093210
112.73298,0.058241,0.048202,0.111473,0.093210
112.73398,0.051544,0.046046,0.111473,0.093210
112.73498,0.052588,0.043495,0.111473,0.093210
112.73598,0.058171,0.054199,0.111473,0.093210
112.73698,0.066215,0.050320,0.111473,0.093210
112.73798,0.057817,0.050956,0.111473,0.093210
112.73898,0.049714,0.040441,0.111473,0.093210
112.73998,0.042300,0.037028,0.111473,0.093210
112.74098,0.056706,0.043483,0.111473,0.093210
112.74198,0.051336,0.046410,0.111473,0.093210
112.74298,0.056595,0.047382,0.111473,0.093210
112.74398,0.039435,0.028702,0.111473,0.093210
112.74498,0.053631,0.050687,0.111473,0.093210
112.74598,0.066780,0.051292,0.111473,0.093210
112.74698,0.065433,0.058867,0.111473,0.093210
112.74798,0.070105,0.053985,0.111473,0.093210
112.74898,0.063436,0.056192,0.111473,0.093210
